Rk,Player,Tm,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,Signed Using,Guaranteed
23,Andrew Wiggins,GSW,"$29,542,010 ","$31,579,390 ","$33,616,770 ",,,,1st Round Pick,"$94,738,170 "
24,Kristaps Porziņģis,DAL,"$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",,,Bird Rights,"$94,951,800 "
25,Devin Booker,PHO,"$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",,,1st round pick,"$130,800,000 "
26,Karl-Anthony Towns,MIN,"$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",,,1st Round Pick,"$128,620,000 "
27,CJ McCollum,POR,"$29,354,152 ","$30,864,198 ","$33,333,333 ","$35,802,469 ",,,1st Round Pick,"$129,354,152 "
28,Ben Simmons,PHI,"$29,250,000 ","$31,590,000 ","$33,930,000 ","$36,270,000 ","$38,610,000 ",,1st Round pick,"$169,650,000 "
29,Jamal Murray,DEN,"$29,250,000 ","$31,590,000 ","$33,930,000 ","$36,270,000 ","$38,610,000 ",,1st Round pick,"$169,650,000 "
30,Pascal Siakam,TOR,"$29,000,000 ","$31,320,000 ","$33,640,000 ","$35,960,000 ",,,1st Round pick,"$129,920,000 "
31,Bradley Beal,WAS,"$28,751,775 ","$34,502,130 ","$37,262,300 ",,,,Cap Space,"$63,253,905 "
32,Andre Drummond,CLE,"$29,546,311 ",,,,,,,"$28,751,775 "
33,D'Angelo Russell,MIN,"$28,649,250 ","$30,013,500 ","$31,377,750 ",,,,Sign and Trade,"$90,040,500 "
34,Nikola Jokić,DEN,"$28,542,009 ","$30,510,423 ","$32,478,837 ",,,,Bird Rights,"$91,531,269 "
35,Gordon Hayward,CHO,"$28,500,000 ","$29,900,000 ","$30,100,000 ","$31,500,000 ",,,Sign and Trade,"$120,000,000 "
36,Otto Porter,ORL,"$28,489,239 ",,,,,,Bird Rights,"$28,489,239 "
37,DeMar DeRozan,SAS,"$27,739,975 ",,,,,,Cap Space,"$27,739,975 "
38,Giannis Antetokounmpo,MIL,"$27,528,090 ","$39,344,970 ","$42,492,568 ","$45,640,165 ","$48,787,763 ","$51,935,360 ",1st Round Pick,"$203,793,556 "
39,Steven Adams,NOP,"$27,528,090 ","$17,073,171 ","$17,926,829 ",,,,1st Round Pick,"$62,528,090 "
40,Al Horford,OKC,"$27,500,000 ","$27,000,000 ","$26,500,000 ",,,,Cap Space,"$69,000,000 "
41,Brandon Ingram,NOP,"$27,285,000 ","$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",,Bird,"$158,253,000 "
42,Rudy Gobert,UTA,"$26,525,281 ","$35,344,828 ","$38,172,414 ","$41,000,000 ","$43,827,587 ","$46,655,173 ",1st Round Pick,"$184,870,110 "
43,Jrue Holiday,MIL,"$26,131,111 ","$30,133,333 ","$32,393,333 ","$34,653,333 ","$36,913,333 ",,Bird Rights,"$123,311,110 "
44,Nikola Vučević,CHI,"$26,000,000 ","$24,000,000 ","$22,000,000 ",,,,Bird Rights,"$72,000,000 "
45,Buddy Hield,SAC,"$24,431,818 ","$22,477,273 ","$20,522,727 ","$18,568,182 ",,,1st Round pick,"$86,000,000 "
46,Jaylen Brown,BOS,"$22,991,071 ","$24,830,357 ","$26,669,643 ","$28,508,929 ",,,1st Round pick,"$103,000,000 "
47,Draymond Green,GSW,"$22,246,956 ","$24,026,712 ","$25,806,469 ","$27,586,225 ",,,Bird Rights,"$72,080,137 "
48,Harrison Barnes,SAC,"$22,215,909 ","$20,284,091 ","$18,352,273 ",,,,Bird Rights,"$60,852,273 "
49,Fred VanVleet,TOR,"$21,250,000 ","$19,675,926 ","$21,250,000 ","$22,824,074 ",,,Bird,"$62,175,926 "
50,Victor Oladipo,MIA,"$21,000,000 ",,,,,,1st Round Pick,"$21,000,000 "
51,Malcolm Brogdon,IND,"$20,700,000 ","$21,700,000 ","$22,600,000 ",,,,Sign and Trade,"$65,000,000 "
52,Danilo Gallinari,ATL,"$19,500,000 ","$20,475,000 ","$21,450,000 ",,,,Sign and Trade,"$44,975,000 "
53,Zach LaVine,CHI,"$19,500,000 ","$19,500,000 ",,,,,Cap space,"$39,000,000 "
54,Gary Harris,ORL,"$19,160,714 ","$20,482,143 ",,,,,1st Round Pick,"$39,642,857 "
55,Jerami Grant,DET,"$19,047,619 ","$20,000,000 ","$20,952,381 ",,,,Sign and Trade,"$60,000,000 "
56,Tim Hardaway Jr.,DAL,"$18,975,000 ",,,,,,Cap space,"$18,975,000 "
57,Terry Rozier,CHO,"$18,900,000 ","$17,905,263 ",,,,,Sign and Trade,"$36,805,263 "
58,Julius Randle,NYK,"$18,900,000 ","$19,800,000 ",,,,,Cap Space,"$22,900,000 "
59,LaMarcus Aldridge,SAS,"$19,078,340 ",,,,,,,"$18,200,000 "
60,Aaron Gordon,DEN,"$18,136,364 ","$16,409,091 ",,,,,Bird Rights,"$34,545,455 "
61,Myles Turner,IND,"$18,000,000 ","$18,000,000 ","$18,000,000 ",,,,1st Round pick,"$54,000,000 "
62,Bogdan Bogdanović,ATL,"$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,,Cap Space,"$54,000,000 "
63,Goran Dragić,MIA,"$18,000,000 ","$19,440,000 ",,,,,Bird,"$18,000,000 "
64,Bojan Bogdanović,UTA,"$17,850,000 ","$18,700,000 ","$19,550,000 ",,,,Cap Space,"$56,100,000 "
65,Domantas Sabonis,IND,"$17,187,500 ","$18,562,500 ","$19,937,500 ","$21,312,500 ",,,1st Round pick,"$77,000,000 "
66,Ricky Rubio,MIN,"$17,000,000 ","$17,809,524 ",,,,,Cap Space,"$34,809,524 "
67,Evan Fournier,BOS,"$17,000,000 ",,,,,,Cap Space,"$17,000,000 "
68,Eric Bledsoe,NOP,"$16,875,000 ","$18,125,000 ","$19,375,000 ",,,,Bird Rights,"$38,900,000 "
69,Eric Gordon,HOU,"$16,869,276 ","$18,218,818 ","$19,568,360 ","$20,917,902 ",,,Cap Space,"$54,656,454 "
70,Gorgui Dieng,MEM,"$17,587,688 ",,,,,,,"$16,587,688 "
71,Caris LeVert,IND,"$16,203,704 ","$17,500,000 ","$18,796,296 ",,,,1st Round pick,"$52,500,000 "
72,Joe Harris,BRK,"$16,071,429 ","$17,357,143 ","$18,642,857 ","$19,928,571 ",,,Bird,"$72,000,000 "
73,James Johnson,NOP,"$16,047,100 ",,,,,,Cap space,"$16,047,100 "
74,Clint Capela,ATL,"$16,000,000 ","$17,103,448 ","$18,206,897 ",,,,Bird Rights,"$51,310,345 "
75,Dennis Schröder,LAL,"$15,500,000 ",,,,,,1st Round Pick,"$15,500,000 "
76,Cody Zeller,CHO,"$15,415,730 ",,,,,,1st Round Pick,"$15,415,730 "
77,Danny Green,PHI,"$15,365,854 ",,,,,,Cap Space,"$15,365,854 "
78,Dāvis Bertāns,WAS,"$15,000,000 ","$16,000,000 ","$16,000,000 ","$17,000,000 ","$16,000,000 ",,Bird,"$75,000,000 "
79,Jonas Valančiūnas,MEM,"$15,000,000 ","$14,000,000 ",,,,,Bird Rights,"$29,000,000 "
80,Andre Iguodala,MIA,"$15,000,000 ","$15,000,000 ",,,,,Bird Rights,"$15,000,000 "
81,Marcus Morris,LAC,"$14,883,721 ","$15,627,907 ","$16,372,093 ","$17,116,279 ",,,Non Bird,"$64,000,000 "
82,Kelly Oubre Jr.,GSW,"$14,375,000 ",,,,,,Bird Rights,"$14,375,000 "
83,Dejounte Murray,SAS,"$14,285,714 ","$15,428,571 ","$16,571,429 ","$17,714,286 ",,,1st Round pick,"$64,000,000 "
84,Rudy Gay,SAS,"$14,000,000 ",,,,,,Early Bird Rights,"$14,000,000 "
85,Taurean Prince,CLE,"$13,942,308 ","$15,057,692 ",,,,,1st Round pick,"$29,000,000 "
86,Will Barton,DEN,"$13,920,000 ","$14,880,000 ",,,,,Bird Rights,"$13,920,000 "
87,Thaddeus Young,CHI,"$13,545,000 ","$14,190,000 ",,,,,Cap space,"$19,545,000 "
88,Terrence Ross,ORL,"$13,500,000 ","$12,500,000 ","$11,500,000 ",,,,Bird Rights,"$37,500,000 "
89,Marcus Smart,BOS,"$13,446,428 ","$14,339,285 ",,,,,Bird Rights,"$27,785,713 "
90,Patrick Beverley,LAC,"$13,333,333 ","$14,320,988 ",,,,,Bird Rights,"$27,654,321 "
91,Malik Beasley,MIN,"$13,325,895 ","$14,391,964 ","$15,458,035 ","$16,524,106 ",,,Bird,"$43,175,894 "
92,Patty Mills,SAS,"$13,285,714 ",,,,,,Bird Rights,"$13,285,714 "
93,Christian Wood,HOU,"$13,015,874 ","$13,666,667 ","$14,317,459 ",,,,Sign and Trade,"$41,000,000 "
94,J.J. Redick,DAL,"$13,013,700 ",,,,,,Cap Space,"$13,013,700 "
95,Justise Winslow,MEM,"$13,000,000 ","$13,000,000 ",,,,,1st Round Pick,"$13,000,000 "
96,Trevor Ariza,MIA,"$12,800,000 ",,,,,,Cap Space,"$1,800,000 "
97,Brook Lopez,MIL,"$12,697,675 ","$13,302,325 ","$13,906,976 ",,,,Cap Space,"$39,906,976 "
98,Dion Waiters,MEM,"$12,650,000 ",,,,,,,"$12,650,000 "
99,Cory Joseph,DET,"$12,600,000 ","$12,600,000 ",,,,,Cap Space,"$12,600,000 "
100,Markelle Fultz,ORL,"$12,288,697 ","$16,500,000 ","$16,500,000 ","$17,000,000 ",,,1st Round Pick,"$47,288,697 "
101,Kelly Olynyk,HOU,"$12,198,243 ",,,,,,Cap space,"$12,198,243 "
102,Tony Snell,ATL,"$12,178,571 ",,,,,,Cap space,"$12,178,571 "
103,Robert Covington,POR,"$12,138,345 ","$12,975,471 ",,,,,Cap Space,"$25,113,816 "
104,Kentavious Caldwell-Pope,LAL,"$12,073,020 ","$13,038,862 ","$14,004,703 ",,,,Early Bird,"$30,000,000 "
105,Jusuf Nurkić,POR,"$12,000,000 ","$12,000,000 ",,,,,Bird Rights,"$16,000,000 "
106,T.J. Warren,IND,"$11,750,000 ","$12,690,000 ",,,,,1st Round Pick,"$24,440,000 "
107,Larry Nance Jr.,CLE,"$11,709,091 ","$10,690,909 ","$9,672,727 ",,,,1st Round pick,"$32,072,727 "
108,Jordan Clarkson,UTA,"$11,500,000 ","$12,420,000 ","$13,340,000 ","$14,260,000 ",,,Bird,"$37,260,000 "
109,Spencer Dinwiddie,BRK,"$11,454,048 ","$12,302,496 ",,,,,Minimum Salary,"$11,454,048 "
110,Dillon Brooks,MEM,"$11,400,000 ","$12,200,000 ","$11,400,000 ",,,,MLE,"$35,000,000 "
111,Lonzo Ball,NOP,"$11,003,782 ",,,,,,1st Round Pick,"$11,003,782 "
112,Norman Powell,POR,"$10,865,952 ","$11,615,328 ",,,,,Cap Space,"$10,865,952 "
113,Joe Ingles,UTA,"$10,863,637 ","$14,000,000 ",,,,,Bird Rights,"$24,863,637 "
114,Josh Richardson,DAL,"$10,800,000 ","$11,600,000 ",,,,,Minimum Salary,"$10,800,000 "
115,Jeremy Lamb,IND,"$10,500,000 ","$10,500,000 ",,,,,Cap Space,"$21,000,000 "
116,DeAndre Jordan,BRK,"$10,375,678 ","$9,881,598 ","$9,821,842 ",,,,Cap space,"$30,079,118 "
117,Zion Williamson,NOP,"$10,245,480 ","$10,733,400 ","$13,534,817 ",,,,1st Round Pick,"$10,245,480 "
118,Dwight Powell,DAL,"$10,185,185 ","$11,000,000 ","$11,814,815 ",,,,Cap Space,"$33,000,000 "
119,Rodney Hood,TOR,"$10,047,450 ","$10,851,246 ",,,,,Early Bird,"$10,047,450 "
120,Deandre Ayton,PHO,"$10,018,200 ","$12,632,950 ",,,,,1st Round Pick,"$22,651,150 "
121,Tomáš Satoranský,CHI,"$10,000,000 ","$10,000,000 ",,,,,Sign and Trade,"$15,000,000 "
122,Paul Millsap,DEN,"$10,000,000 ",,,,,,Bird,"$10,000,000 "
123,Jayson Tatum,BOS,"$9,897,120 ","$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$135,801,024 "
124,Anthony Edwards,MIN,"$9,757,440 ","$10,245,480 ","$10,733,400 ","$13,534,817 ",,,1st Round Pick,"$20,002,920 "
125,Al-Farouq Aminu,CHI,"$9,720,900 ","$10,183,800 ",,,,,MLE,"$19,904,700 "
126,Dante Exum,HOU,"$9,600,000 ",,,,,,Cap Space,"$9,100,000 "
127,George Hill,PHI,"$9,590,602 ","$10,047,297 ",,,,,Cap Space,"$10,866,093 "
128,Kyle Anderson,MEM,"$9,505,100 ","$9,937,150 ",,,,,MLE,"$19,442,250 "
129,Meyers Leonard,OKC,"$9,400,000 ",,,,,,,"$9,400,000 "
130,Derrick Jones Jr.,POR,"$9,268,293 ","$9,731,707 ",,,,,MLE,"$19,000,000 "
131,Jae Crowder,PHO,"$9,258,000 ","$9,720,900 ","$10,183,800 ",,,,MLE,"$29,162,700 "
132,Derrick Favors,UTA,"$9,258,000 ","$9,720,900 ","$10,183,800 ",,,,MLE,"$18,978,900 "
133,Montrezl Harrell,LAL,"$9,258,000 ","$9,720,900 ",,,,,MLE,"$18,978,900 "
134,Tristan Thompson,BOS,"$9,258,000 ","$9,720,900 ",,,,,MLE,"$18,978,900 "
135,Serge Ibaka,LAC,"$9,258,000 ","$9,742,000 ",,,,,MLE,"$9,258,000 "
136,Ja Morant,MEM,"$9,166,800 ","$9,603,360 ","$12,119,440 ",,,,1st Round Pick,"$18,770,160 "
137,Nicolas Batum,CHO,"$11,608,231 ","$9,043,478 ","$9,043,478 ",,,,,"$27,130,434 "
138,Delon Wright,SAC,"$9,000,000 ","$8,526,316 ",,,,,Sign and Trade,"$17,526,316 "
139,Marvin Bagley III,SAC,"$8,963,640 ","$11,312,114 ",,,,,1st Round Pick,"$20,275,754 "
140,Cedi Osman,CLE,"$8,750,000 ","$8,050,000 ","$7,350,000 ","$6,650,000 ",,,MLE,"$24,150,000 "
141,James Wiseman,GSW,"$8,730,240 ","$9,166,800 ","$9,603,360 ","$12,119,440 ",,,1st Round Pick,"$17,897,040 "
142,Dario Šarić,PHO,"$8,333,333 ","$9,000,000 ","$9,666,667 ",,,,Bird,"$27,000,000 "
143,Thomas Bryant,WAS,"$8,333,333 ","$8,730,159 ",,,,,Early Bird Rights,"$17,063,492 "
144,Maxi Kleber,DAL,"$8,250,000 ","$8,750,000 ","$9,000,000 ",,,,Early Bird Rights,"$17,000,000 "
145,RJ Barrett,NYK,"$8,231,760 ","$8,623,920 ","$10,900,635 ",,,,1st Round Pick,"$16,855,680 "
146,Jakob Poeltl,SAS,"$8,101,852 ","$8,750,000 ","$9,398,148 ",,,,Bird,"$26,250,000 "
147,De'Aaron Fox,SAC,"$8,099,627 ","$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$171,100,217 "
148,Luka Dončić,DAL,"$8,049,360 ","$10,174,391 ",,,,,1st Round Pick,"$18,223,751 "
149,Royce O'Neale,UTA,"$8,035,714 ","$8,678,571 ","$9,321,429 ","$9,964,286 ",,,Cap space,"$36,000,000 "
150,Mason Plumlee,DET,"$8,000,000 ","$8,137,500 ","$8,525,000 ",,,,Cap space,"$24,662,500 "
151,Lou Williams,ATL,"$8,000,000 ",,,,,,Cap Space,"$8,000,000 "
152,P.J. Tucker,MIL,"$7,969,537 ",,,,,,MLE,"$7,969,537 "
153,Tyus Jones,MEM,"$7,965,100 ","$7,522,200 ",,,,,MLE,"$15,487,300 "
154,LaMelo Ball,CHO,"$7,839,960 ","$8,231,760 ","$8,623,920 ","$10,900,635 ",,,1st Round Pick,"$16,071,720 "
155,Seth Curry,PHI,"$7,813,953 ","$8,186,047 ","$8,558,140 ",,,,MLE,"$24,558,140 "
156,De'Anthony Melton,MEM,"$7,812,500 ","$8,437,500 ","$9,062,500 ","$9,687,500 ",,,Early Bird,"$35,000,000 "
157,Derrick Rose,NYK,"$7,682,927 ",,,,,,MLE,"$7,682,927 "
158,Cristiano Felício,CHI,"$7,529,020 ",,,,,,Cap space,"$7,529,020 "
159,Rajon Rondo,LAC,"$7,500,000 ","$7,500,000 ",,,,,Cap Space,"$15,000,000 "
160,De'Andre Hunter,ATL,"$7,422,000 ","$7,775,400 ","$9,835,881 ",,,,1st Round Pick,"$15,197,400 "
161,Jonathan Isaac,ORL,"$7,362,566 ","$17,400,000 ","$17,400,000 ","$17,400,000 ","$17,400,000 ",,1st Round Pick,"$76,962,566 "
162,Doug McDermott,IND,"$7,333,333 ",,,,,,Cap Space,"$7,333,333 "
163,Robin Lopez,WAS,"$7,300,000 ",,,,,,MLE,"$7,300,000 "
164,Jaren Jackson Jr.,MEM,"$7,257,360 ","$9,180,560 ",,,,,1st Round Pick,"$16,437,920 "
165,JaMychal Green,DEN,"$7,199,760 ","$7,559,748 ",,,,,MLE,"$14,759,508 "
166,Nemanja Bjelica,MIA,"$7,150,000 ",,,,,,,
167,Patrick Williams,CHI,"$7,068,360 ","$7,422,000 ","$7,775,400 ","$9,835,881 ",,,1st Round Pick,"$14,490,360 "
168,Ivica Zubac,LAC,"$7,000,000 ","$7,518,518 ","$7,518,518 ",,,,Bird Rights,"$14,518,518 "
169,Darius Miller,OKC,"$7,000,000 ",,,,,,,"$7,000,000 "
170,Aron Baynes,TOR,"$6,975,610 ","$7,324,390 ",,,,,MLE,"$6,975,610 "
171,Lauri Markkanen,CHI,"$6,731,508 ",,,,,,1st Round Pick,"$6,731,508 "
172,Darius Garland,CLE,"$6,720,720 ","$7,040,880 ","$8,920,795 ",,,,1st Round Pick,"$13,761,600 "
173,D.J. Augustin,HOU,"$6,666,667 ","$7,000,000 ","$7,333,333 ",,,,MLE,"$14,000,000 "
174,Trae Young,ATL,"$6,571,800 ","$8,326,471 ",,,,,1st Round Pick,"$14,898,271 "
175,Jabari Parker,SAC,"$6,916,834 ","$2,283,034 ",,,,,,"$6,500,000 "
176,Juan Hernangómez,MIN,"$6,493,000 ","$7,012,440 ","$7,531,880 ",,,,Bird,"$13,505,440 "
177,Chris Boucher,TOR,"$6,490,385 ","$7,009,615 ",,,,,Early Bird,"$13,500,000 "
178,Joakim Noah,NYK,"$6,431,666 ","$6,431,666 ",,,,,,"$12,863,332 "
179,Isaac Okoro,CLE,"$6,400,920 ","$6,720,720 ","$7,040,880 ","$8,920,795 ",,,1st Round Pick,"$13,121,640 "
180,Frank Ntilikina,NYK,"$6,176,578 ",,,,,,1st Round Pick,"$6,176,578 "
181,DeMarre Carroll,SAS,"$6,167,887 ","$1,252,127 ",,,,,,"$7,420,014 "
182,Ish Smith,WAS,"$6,146,341 ",,,,,,MLE,"$6,146,341 "
183,Jarrett Culver,MIN,"$6,104,280 ","$6,395,160 ","$8,109,063 ",,,,1st Round Pick,"$12,499,440 "
184,Alec Burks,NYK,"$6,000,000 ",,,,,,Cap Space,"$6,000,000 "
185,Mo Bamba,ORL,"$5,969,040 ","$7,568,742 ",,,,,1st Round Pick,"$13,537,782 "
186,Onyeka Okongwu,ATL,"$5,813,640 ","$6,104,280 ","$6,395,160 ","$8,109,063 ",,,1st Round Pick,"$11,917,920 "
187,Justin Holiday,IND,"$5,720,400 ","$6,006,420 ","$6,292,440 ",,,,Non Bird,"$18,019,260 "
188,Dennis Smith Jr.,DET,"$5,686,677 ",,,,,,1st Round Pick,"$5,686,677 "
189,Avery Bradley,HOU,"$5,635,000 ","$5,916,750 ",,,,,MLE,"$5,635,000 "
190,Timofey Mozgov,ORL,"$5,573,333 ","$5,573,334 ",,,,,,"$11,146,667 "
191,Coby White,CHI,"$5,572,680 ","$5,837,760 ","$7,413,955 ",,,,1st Round Pick,"$5,572,680 "
192,Trey Lyles,SAS,"$5,500,000 ",,,,,,,
193,Wendell Carter Jr.,ORL,"$5,448,840 ","$6,920,027 ",,,,,1st Round Pick,"$5,448,840 "
194,Zach Collins,POR,"$5,406,255 ",,,,,,1st Round Pick,"$5,406,255 "
195,Malik Monk,CHO,"$5,345,687 ",,,,,,1st Round Pick,"$5,345,687 "
196,Killian Hayes,DET,"$5,307,120 ","$5,572,680 ","$5,837,760 ","$7,413,955 ",,,1st Round Pick,"$10,879,800 "
197,Luke Kennard,LAC,"$5,273,826 ","$12,727,273 ","$13,745,455 ","$14,763,636 ","$14,763,636 ",,1st Round Pick,"$46,510,190 "
198,Ryan Anderson,MIA,"$5,214,583 ","$5,214,584 ",,,,,,"$10,429,167 "
199,Donovan Mitchell,UTA,"$5,195,501 ","$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$131,099,405 "
200,Bam Adebayo,MIA,"$5,115,492 ","$28,103,550 ","$30,351,834 ","$32,600,118 ","$34,848,402 ","$37,096,686 ",1st Round Pick,"$168,116,082 "
201,Jaxson Hayes,NOP,"$5,105,160 ","$5,348,280 ","$6,803,012 ",,,,1st Round Pick,"$5,105,160 "
202,Justin Jackson,OKC,"$5,029,650 ",,,,,,,"$5,029,650 "
203,Richaun Holmes,SAC,"$5,005,350 ",,,,,,Room Exception,"$5,005,350 "
204,Enes Kanter,POR,"$5,005,350 ",,,,,,Room Exception,"$5,005,350 "
205,Mike Scott,PHI,"$5,005,350 ",,,,,,Room Exception,"$5,005,350 "
206,Ed Davis,MIN,"$5,005,350 ",,,,,,Room Exception,"$5,005,350 "
207,Rodney McGruder,DET,"$5,000,000 ","$5,370,370 ",,,,,Cap Space,"$10,370,370 "
208,Nerlens Noel,NYK,"$5,000,000 ",,,,,,Cap Space,"$5,000,000 "
209,Daniel Theis,CHI,"$5,000,000 ",,,,,,,
210,Collin Sexton,CLE,"$4,991,880 ","$6,349,671 ",,,,,1st Round Pick,"$11,341,551 "
211,Luol Deng,LAL,"$4,990,000 ","$4,990,000 ",,,,,,"$9,980,000 "
212,Pat Connaughton,MIL,"$4,938,272 ","$5,333,333 ","$5,728,395 ",,,,Early Bird,"$10,271,605 "
213,Obi Toppin,NYK,"$4,862,040 ","$5,105,160 ","$5,348,280 ","$6,803,012 ",,,1st Round Pick,"$9,967,200 "
214,Kevon Looney,GSW,"$4,821,429 ","$5,178,572 ",,,,,Bird Rights,"$4,821,429 "
215,Josh Jackson,DET,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
216,Garrett Temple,CHI,"$4,767,000 ",,,,,,MLE,"$4,767,000 "
217,Kris Dunn,ATL,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
218,Elfrid Payton,NYK,"$5,760,000 ",,,,,,Cap Space,"$5,760,000 "
219,Rui Hachimura,WAS,"$4,692,840 ","$4,916,160 ","$6,263,188 ",,,,1st Round Pick,"$9,609,000 "
220,Denzel Valentine,CHI,"$4,642,800 ",,,,,,,"$4,642,800 "
221,Kevin Knox,NYK,"$4,588,680 ","$5,845,978 ",,,,,1st Round Pick,"$10,434,658 "
222,D.J. Wilson,HOU,"$4,548,280 ",,,,,,1st Round Pick,"$4,548,280 "
223,Deni Avdija,WAS,"$4,469,160 ","$4,692,840 ","$4,916,160 ","$6,263,188 ",,,1st Round Pick,"$9,162,000 "
224,Cam Reddish,ATL,"$4,458,000 ","$4,670,160 ","$5,954,454 ",,,,1st Round Pick,"$9,128,160 "
225,Mikal Bridges,PHO,"$4,359,000 ","$5,557,725 ",,,,,1st Round Pick,"$9,916,725 "
226,T.J. Leaf,OKC,"$4,326,825 ",,,,,,,"$4,326,825 "
227,Jalen Smith,PHO,"$4,245,720 ","$4,458,000 ","$4,670,160 ","$5,954,454 ",,,1st Round Pick,"$8,703,720 "
228,Cameron Johnson,PHO,"$4,235,160 ","$4,437,000 ","$5,887,899 ",,,,1st Round Pick,"$8,672,160 "
229,JaVale McGee,DEN,"$4,200,000 ",,,,,,Cap Space,"$4,200,000 "
230,Reggie Bullock,NYK,"$4,200,000 ",,,,,,Room Exception,"$1,000,000 "
231,Shai Gilgeous-Alexander,OKC,"$4,141,320 ","$5,495,532 ",,,,,1st Round Pick,"$9,636,852 "
232,John Collins,ATL,"$4,137,302 ",,,,,,1st Round Pick,"$4,137,302 "
233,Nicolò Melli,DAL,"$4,097,561 ",,,,,,Room Exception,"$4,097,561 "
234,Devin Vassell,SAS,"$4,033,440 ","$4,235,160 ","$4,437,000 ","$5,887,899 ",,,1st Round Pick,"$8,268,600 "
235,P.J. Washington,CHO,"$4,023,600 ","$4,215,120 ","$5,808,435 ",,,,1st Round Pick,"$8,238,720 "
236,Willie Cauley-Stein,DAL,"$4,000,000 ","$4,200,000 ",,,,,MLE,"$8,200,000 "
237,Dorian Finney-Smith,DAL,"$4,000,000 ","$4,000,000 ",,,,,Bird Rights,"$8,000,000 "
238,Patrick McCaw,TOR,"$4,000,000 ",,,,,,,"$4,000,000 "
239,Terrance Ferguson,NYK,"$3,944,013 ",,,,,,,"$3,944,013 "
240,Miles Bridges,CHO,"$3,934,320 ","$5,421,493 ",,,,,1st Round Pick,"$9,355,813 "
